,Q1,Q2,Q3,Q4,Q5,LS
20200925,1.0,1.0,1.0,1.0,1.0,1.0
20200928,1.0,1.0,1.0,1.0,1.0,1.0
20200929,1.0,1.0,1.0,1.0,1.0,1.0
20200930,1.0,1.0,1.0,1.0,1.0,1.0
20201009,1.0,1.0,1.0,1.0,1.0,1.0
20201012,1.0,1.0,1.0,1.0,1.0,1.0
20201013,1.0,1.0,1.0,1.0,1.0,1.0
20201014,1.0,1.0,1.0,1.0,1.0,1.0
20201015,1.0,1.0,1.0,1.0,1.0,1.0
20201016,1.0,1.0,1.0,1.0,1.0,1.0
20201019,1.0,1.0,1.0,1.0,1.0,1.0
20201020,1.0,1.0,1.0,1.0,1.0,1.0
20201021,1.0,1.0,1.0,1.0,1.0,1.0
20201022,1.0,1.0,1.0,1.0,1.0,1.0
20201023,1.0,1.0,1.0,1.0,1.0,1.0
20201026,1.0,1.0,1.0,1.0,1.0,1.0
20201027,1.0,1.0,1.0,1.0,1.0,1.0
20201028,1.0,1.0,1.0,1.0,1.0,1.0
20201029,1.0,1.0,1.0,1.0,1.0,1.0
20201030,1.0,1.0,1.0,1.0,1.0,1.0
20201102,1.0639193165001775,1.062387072849174,1.0492942988859997,1.0280259285122524,0.9995051987962051,0.9355858822960278
20201103,1.1152668092790337,1.1117060021765492,1.0789007564056943,1.0321892626240703,0.9862001627436459,0.8779779261208235
20201104,1.1659313384526453,1.1683877483145275,1.1053968979838769,1.042263746305715,0.9705219771571164,0.8241352813875668
20201105,1.2021796706712073,1.2073442183695502,1.1150656836819564,1.0355253962135176,0.9437092487949374,0.7757447645291126
20201106,1.2409174004001655,1.2408817233720835,1.1274161607256001,1.0366335227733516,0.931755817904467,0.7409220894113726
20201109,1.2532050514905524,1.2513658078333956,1.1168328170253647,1.0116794803470808,0.8997191736831768,0.7081102359975453
20201110,1.257880020816563,1.2513582382083608,1.094110054506432,0.9750377845258674,0.8615726467745548,0.6754460526473745
20201111,1.2684788562167806,1.257402369855316,1.0812512500833036,0.9511089681311081,0.8442445114455838,0.6561700602843115
20201112,1.2553358348299188,1.2414043720874426,1.0487557647651662,0.9114400453397775,0.8128665557882202,0.6385809892761025
20201113,1.2389146794794885,1.2331953822081507,1.0246803928157378,0.880553665357039,0.7943651713479091,0.6323997929608343
20201116,1.2002546625287758,1.2009981307889348,0.9904086401017435,0.8428893439838454,0.7769130629724476,0.6382399191240266
20201117,1.148691223137651,1.161737225720697,0.9509973216012003,0.8047844532176596,0.7654944642151859,0.6562785067610815
20201118,1.1016030705256108,1.1294532532802195,0.9177355924143239,0.7705700413183636,0.7612478582922458,0.6795405209986437
20201119,1.0574115763214573,1.0945195791690923,0.8835110065312576,0.7314055189883361,0.7456376590926791,0.6928660096952832
20201120,1.011787442471409,1.0674942147982163,0.8496826172709944,0.7008815500545487,0.7387740513892568,0.716383253418802
20201123,0.9439242340591846,1.0102540367941368,0.7989538188029328,0.6565061276963692,0.7188020985692302,0.7450662946184063
20201124,0.8824394402467318,0.9603465680414796,0.7552529902797029,0.6175580000891576,0.7084465603383753,0.7828640767523971
20201125,0.8174808761573256,0.90882097563189,0.7069601872285172,0.5793829216479065,0.7013616080914444,0.8326634719056812
20201126,0.766959665657375,0.87029836785869,0.669330767896742,0.5525532938089013,0.7062347727207635,0.8899084528779794
20201127,0.711249309264425,0.8243354713159966,0.629895034402125,0.5216822451713701,0.7071194310743792,0.9556642891541637
20201130,0.6618168450962435,0.781002855287422,0.5913308152969322,0.49161614879985893,0.7039743696771714,1.0178332968062518
20201201,0.6079820631878984,0.7337399923823159,0.5529748333629708,0.4591489106838221,0.6944108124640103,1.0868004954928303
20201202,0.5637645525922981,0.6903940071479291,0.5232754000592967,0.43509684537863463,0.6984346112878017,1.1721391843669158
20201203,0.5250105690430421,0.6588953177045416,0.502420467178832,0.42181635492017244,0.7202168488742218,1.2892694810980714
20201204,0.48553701757689355,0.6245638420445909,0.4805682549532591,0.40766418106734376,0.7440703241318973,1.4289051726981101
20201207,0.4463353931698423,0.5880714082725479,0.4548315176110152,0.3917112862855908,0.7635098250722725,1.5816045316079554
20201208,0.3995523579029323,0.5421772031579942,0.4219182268080845,0.36672279102407607,0.7753093883341678,1.7718244976959558
20201209,0.36422769874186195,0.5084264496870208,0.39704428226690125,0.35059854525590634,0.7967981299333255,1.9775810415567474
20201210,0.32397101683146307,0.4658804558042849,0.36478841946929147,0.3283473426449426,0.8055640735137434,2.217911722952727
20201211,0.29446076550776773,0.43641607564251383,0.3421054096571333,0.31638490775166267,0.8397353041101119,2.514021082807192
20201214,0.2645194536148835,0.4009386648276576,0.3168263476804494,0.2961292905030273,0.8524193411415957,2.807625162856753
20201215,0.23960159536786718,0.3716621930515298,0.29444980421847095,0.2782610297467711,0.854090962941934,3.077610630990629
20201216,0.22360640659971276,0.3507477408840679,0.2803318794396308,0.2669263340320455,0.8655498203347389,3.3243546018342016
20201217,0.20980047409958408,0.3328965680558087,0.26792077752657906,0.25846502966952184,0.8887500209557061,3.618713299573197
20201218,0.19891911389822323,0.31868722453049914,0.2575487168628526,0.25151627977253205,0.9098261842740344,3.892214449046632
20201221,0.18715790072574895,0.3026990933346807,0.24626505455152245,0.24325875641347366,0.9245329790321385,4.185259300273033
20201222,0.18043776603504016,0.2945805180300087,0.24159217680037726,0.24266719322441255,0.9694272832353763,4.538767771284288
20201223,0.1717975759810125,0.2821074518641178,0.23232935685188594,0.23845782936448817,1.0086597253661715,4.939787466206639
20201224,0.16369033707246047,0.2703516751968829,0.22421251700340178,0.23510991790664304,1.06177071774442,5.433003817184541
20201225,0.15383163952153842,0.2554982495776075,0.21252667373721748,0.22714720558703022,1.0851201778758772,5.87969880374019
20201228,0.1467676716442783,0.24454090519677404,0.20480250569980954,0.22135475230425325,1.1166476657956694,6.320526269071743
20201229,0.13831107042975008,0.23154372937623363,0.19569825769419316,0.214087361195363,1.1347101052176327,6.786946713318541
20201230,0.12842976497796516,0.21553416077951967,0.18419755779534894,0.20269027842053805,1.1270898942458125,7.226245847402625
20201231,0.11764238011656383,0.19878044928602223,0.17098331236054737,0.1908335761109061,1.1107300746716555,7.728320583790899
20210104,0.10677899838183305,0.18262608406468522,0.15671301253217867,0.1772453022425982,1.0863774401617183,8.27252980939772
20210105,0.09617539792066584,0.1661181613872674,0.14211500367411964,0.1623479020935442,1.0413522359509697,8.751169351143112
20210106,0.08635749408962269,0.15013330248248127,0.12780204699003678,0.14852041306374925,0.9874942081493961,9.191913250535597
20210107,0.07973563793529234,0.13796119089577627,0.11679445255032292,0.13683354497704747,0.9282151229590041,9.344956510249744
20210108,0.07318036403284621,0.12696355652197938,0.10704738016356936,0.12630741008046545,0.8870225288970269,9.698516526650566
20210111,0.0695477168838001,0.12111732638227572,0.10240033754212581,0.1217433772839675,0.8826398246155434,10.132027864484428
20210112,0.0660864020147102,0.11602366372015466,0.09786471292161517,0.1168206927615991,0.876704469582687,10.568154643835639
20210113,0.06564081354507176,0.11604389344253124,0.09808373188360886,0.11680754061595279,0.8855108399577385,10.745566165370487
20210114,0.06672966076600957,0.11842466509988679,0.10012593086464194,0.12031347521950685,0.9142399058307588,10.915942852933348
20210115,0.06783208490657014,0.1206313667769048,0.10247351794740787,0.12342227477185197,0.9346684322649922,10.979518055883206
20210118,0.06751520506172182,0.1212364619460913,0.10240759410673952,0.12400431581839329,0.9278157482624084,10.950310996092332
20210119,0.06691566248596953,0.12102638715510217,0.10211963625137074,0.12417935263471924,0.9141256031029066,10.885976503035351
20210120,0.0661047020009751,0.12103916737221973,0.1008500822088729,0.12287126008420061,0.8819431511252722,10.634656545444832
20210121,0.06516344625432192,0.11994258968594589,0.0990795236202108,0.12043215700978878,0.8251662960034818,10.10145466013859
20210122,0.06674385157631653,0.12296120480912756,0.10084187658621217,0.12153919007973392,0.7877477507994052,9.398397310871323
20210125,0.06965524282931333,0.1272394579860505,0.10413537763473697,0.1238612976947073,0.7482538800528226,8.517245490889813
20210126,0.07383496921169473,0.13340483773900816,0.10996594149624815,0.12889076292525445,0.7397283640854687,7.909115921168582
20210127,0.07806824554015701,0.13956981655790798,0.11516153655345987,0.13300334491071897,0.7133933784957639,7.174080751655657
20210128,0.08386481196903217,0.14843850208951948,0.12241984456621517,0.14044807400240125,0.7067144568181392,6.574240249433486
20210129,0.09115019417194067,0.1585029280550916,0.1316397995078259,0.14904503215192524,0.6884042269467285,5.832800728865299
20210201,0.09708670826771097,0.16684505463091082,0.1383722172785519,0.15328549509800987,0.6420369095888763,5.060049664086272
20210202,0.10165665797043574,0.17263520178528868,0.1431810804082792,0.15518712753154354,0.5909787734616627,4.41946740441309
20210203,0.10995983390226718,0.18441747697865518,0.1533145315864372,0.16330556091628118,0.5643905624695968,3.8596589818387073
20210204,0.12081402457565037,0.2012707548253282,0.16833551895199345,0.17578149476595523,0.551929126028033,3.393450927105132
20210205,0.1339995645013916,0.2218375355174459,0.18678340547743144,0.19335444118226444,0.5435858979201897,2.9717955295227414
20210208,0.15235513246752713,0.2482784141441036,0.20905105702920512,0.21385356864943228,0.5367960835102258,2.5275920974896278
20210209,0.1714692267949783,0.27342015321168023,0.2308977122224039,0.23221433563535884,0.5231148845451531,2.1460665455171384
20210210,0.19061875372860174,0.2993835723922161,0.2518622551994436,0.25067387577627237,0.5099934819639493,1.8525655437515018
20210218,0.20504444324615131,0.31769751721068323,0.2661221490782013,0.26194167648167604,0.48580158907777826,1.6244889405627663
20210219,0.21687798720644383,0.3299616576306198,0.27793257916980957,0.2717311042146438,0.4639632784825522,1.4577103925752677
20210222,0.22365627007448355,0.3368668996496419,0.28285459294998144,0.2753002548413074,0.43848627599572065,1.3321059333684622
20210223,0.23200394945661915,0.34407126465530047,0.2889232611364826,0.2766928648334008,0.40894647658806954,1.1926459370582205
20210224,0.23794761943098514,0.34908137617821605,0.29275741353427914,0.27696434304369555,0.38689487578845777,1.097780753975374
20210225,0.24745966519287255,0.36040557058135503,0.30061975240745986,0.2835349340116631,0.37534322464344405,1.0211197434007822
20210226,0.2555995136357204,0.3711340731981791,0.31267741524962184,0.2908997734820279,0.37158914324404835,0.9773184375948263
20210301,0.2523530986498331,0.3723236973185154,0.316418122581677,0.291122773083497,0.3597733402042357,0.9586547314602494
20210302,0.25254481938075324,0.37742033368678374,0.32321113463579004,0.292311184917341,0.3497501981422184,0.9312186715016667
20210303,0.2507606834778244,0.37821203590036295,0.32667338126838463,0.2892057777799651,0.33759316003749495,0.9054289688306439
20210304,0.25067653031781667,0.3814789309334466,0.3297236256465528,0.2886183751179843,0.33531905161303793,0.8996336366137997
20210305,0.25008521058518307,0.384063379366707,0.33270837792993585,0.2906720598662334,0.3342580951606568,0.8989093187924087
20210308,0.25297192341506103,0.391390118685452,0.3403270399733734,0.2981759200688443,0.3438188330080118,0.9142446614637971
20210309,0.2602864637297599,0.40272395963493224,0.3523087167273851,0.30988414146634674,0.36599789232074487,0.9467858720979322
20210310,0.27409391194742505,0.42387622138376446,0.37020627001586714,0.32570799447730464,0.38614610193504545,0.9486822334920191
